,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
174,175,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,0.086,0.11,768.0,512.0,56.05,56.05,56.05
175,176,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,1.229,1.295,4096.0,32768.0,56.04,56.04,56.04
176,177,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,1.214,1.28,2048.0,2048.0,55.81,55.81,55.81
177,178,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,55.8,55.8,55.8
178,179,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,7.022,7.153,4096.0,32768.0,55.66,55.66,55.66
179,180,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),100%,0.032,0.08,320.0,40960.0,55.0,55.0,55.0
180,181,[bge-m3](https://huggingface.co/BAAI/bge-m3),100%,0.312,0.568,1024.0,8194.0,54.85,54.85,54.85
181,182,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,1.209,1.242,768.0,512.0,54.77,54.77,54.77
182,183,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),100%,0.062,0.159,640.0,40960.0,54.33,54.33,54.33
183,184,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),100%,1.41,1.721,2048.0,40960.0,54.21,54.21,54.21
184,185,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),100%,0.198,0.334,896.0,40960.0,52.93,52.93,52.93
185,186,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,0.304,0.56,1024.0,514.0,52.92,52.92,52.92
186,187,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,7.201,7.746,3584.0,32768.0,52.6,52.6,52.6
187,188,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,52.3,52.3,52.3
188,189,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,4.833,4.866,768.0,512.0,51.9,51.9,51.9
189,190,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),100%,0.011,0.023,384.0,512.0,51.47,51.47,51.47
190,191,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,51.33,51.33,51.33
191,192,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),100%,0.312,0.359,1024.0,8194.0,51.02,51.02,51.02
192,193,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,0.022,0.033,384.0,256.0,50.82,50.82,50.82
193,194,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024.0,512.0,50.74,50.74,50.74
194,195,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,0.0,0.102,256.0,,50.29,50.29,50.29
195,196,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),100%,0.441,0.596,1024.0,40960.0,49.82,49.82,49.82
196,197,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,0.086,0.278,768.0,514.0,49.44,49.44,49.44
197,198,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,0.007,0.019,384.0,512.0,49.03,49.03,49.03
198,199,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384.0,512.0,48.9,48.9,48.9
199,200,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,0.006,0.017,384.0,512.0,47.77,47.77,47.77
200,201,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,0.011,0.023,384.0,512.0,47.25,47.25,47.25
201,202,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,0.011,0.023,384.0,256.0,47.23,47.23,47.23
202,203,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,0.0,0.008,256.0,,47.02,47.02,47.02
203,204,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,0.022,0.118,384.0,512.0,46.79,46.79,46.79
204,205,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,0.303,0.336,768.0,512.0,46.11,46.11,46.11
205,206,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,0.0,0.008,256.0,,45.75,45.75,45.75
206,207,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,0.086,0.278,768.0,514.0,45.1,45.1,45.1
207,208,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),100%,0.312,0.568,1024.0,8194.0,44.87,44.87,44.87
208,209,[potion-retrieval-32M](https://huggingface.co/minishlab/potion-retrieval-32M),100%,0.0,0.032,512.0,,44.69,44.69,44.69
209,210,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),100%,0.0,0.031,1024.0,,44.6,44.6,44.6
210,211,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,0.0,0.004,128.0,,43.24,43.24,43.24
211,212,[potion-base-32M](https://huggingface.co/minishlab/potion-base-32M),100%,0.0,0.032,512.0,,41.93,41.93,41.93
212,213,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,41.9,41.9,41.9
213,214,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),100%,0.0,0.128,256.0,,41.7,41.7,41.7
214,215,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,0.086,0.124,768.0,514.0,41.24,41.24,41.24
215,216,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,0.198,0.223,768.0,512.0,40.7,40.7,40.7
216,217,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,0.0,0.002,64.0,,40.48,40.48,40.48
217,218,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),100%,0.086,0.278,768.0,514.0,40.0,40.0,40.0
218,219,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,0.0,0.103,256.0,,39.98,39.98,39.98
219,220,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,0.0,0.008,256.0,,39.84,39.84,39.84
220,221,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,0.004,0.016,384.0,512.0,39.48,39.48,39.48
221,222,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,0.022,0.118,384.0,512.0,39.34,39.34,39.34
222,223,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,0.304,0.56,1024.0,514.0,38.98,38.98,38.98
223,224,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),100%,0.022,0.118,384.0,512.0,38.7,38.7,38.7
224,225,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,0.114,0.137,768.0,,38.58,38.58,38.58
225,226,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,38.51,38.51,38.51
226,227,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,37.87,37.87,37.87
227,228,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,0.304,0.435,1024.0,514.0,37.47,37.47,37.47
228,229,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,0.0,0.001,64.0,,37.32,37.32,37.32
229,230,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,0.0,0.002,64.0,,36.57,36.57,36.57
230,231,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,0.006,0.017,384.0,512.0,35.74,35.74,35.74
231,232,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,0.304,0.335,1024.0,512.0,35.65,35.65,35.65
232,233,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,0.0,0.001,64.0,,35.37,35.37,35.37
233,234,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,0.0,0.108,1024.0,,35.37,35.37,35.37
234,235,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,0.022,0.118,384.0,256.0,32.1,32.1,32.1
235,236,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,0.022,0.118,384.0,512.0,30.66,30.66,30.66
236,237,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,0.087,0.129,768.0,512.0,30.52,30.52,30.52
237,238,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,30.27,30.27,30.27
238,239,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),0%,0.086,0.278,768.0,514.0,28.94,28.94,28.94
239,240,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,0.304,0.336,1024.0,512.0,28.34,28.34,28.34
240,241,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,0.086,0.471,768.0,512.0,27.31,27.31,27.31
241,242,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,24.82,24.82,24.82
242,243,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,0.304,0.56,1024.0,514.0,22.26,22.26,22.26
243,244,[USER-base](https://huggingface.co/deepvk/USER-base),100%,0.388,0.427,768.0,512.0,20.17,20.17,20.17
244,245,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,0.003,0.029,312.0,2048.0,17.53,17.53,17.53
245,246,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,0.0,0.0,64.0,,17.35,17.35,17.35
246,247,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,16.34,16.34,16.34
247,248,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,0.015,0.107,768.0,512.0,15.18,15.18,15.18
248,249,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,0.087,0.129,768.0,512.0,14.9,14.9,14.9
249,250,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,0.086,0.109,768.0,514.0,13.53,13.53,13.53
250,251,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,1.982,2.506,2048.0,8192.0,13.11,13.11,13.11
251,252,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,0.003,0.012,312.0,512.0,9.47,9.47,9.47
252,253,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,0.003,0.029,312.0,2048.0,8.67,8.67,8.67
253,254,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,0.015,0.107,768.0,512.0,7.8,7.8,7.8
254,255,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,0.086,0.135,768.0,512.0,7.27,7.27,7.27
255,256,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,0.304,0.427,1024.0,512.0,7.16,7.16,7.16
256,257,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024.0,512.0,6.3,6.3,6.3
257,258,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,0.086,0.163,768.0,512.0,5.28,5.28,5.28
258,259,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,0.086,0.135,768.0,512.0,5.2,5.2,5.2
259,260,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),100%,1.188,1.28,768.0,512.0,4.05,4.05,4.05
260,261,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,0.304,0.427,1024.0,512.0,3.91,3.91,3.91
261,262,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),100%,0.085,0.124,768.0,512.0,3.56,3.56,3.56
262,263,baseline-random-encoder,100%,,,32.0,,0.43,0.43,0.43
